KEY,FREQ,REF_AREA,ADJUSTMENT,STS_CONCEPT,STS_CLASS,STS_INSTITUTION,STS_SUFFIX,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK,OBS_COM,TIME_FORMAT,BREAKS,COLLECTION,COMPILING_ORG,DISS_ORG,DOM_SER_IDS,PUBL_ECB,PUBL_MU,PUBL_PUBLIC,UNIT_INDEX_BASE,COMPILATION,COVERAGE,DECIMALS,NAT_TITLE,SOURCE_AGENCY,SOURCE_PUB,TITLE,TITLE_COMPL,UNIT,UNIT_MULT
STS.M.I9.N.ECPE.CFOOD0.3.000,M,I9,N,ECPE,CFOOD0,3,000,1999-02,68.02,A,F,,,P1M,,A,,,,,,,2010=100,,,2,,4F0,ECB Calculation,"ECB Commodity Price index, import weighted","Euro area 20 (fixed composition) as of 1 January 2023 - ECB Commodity Price index Euro denominated, import weighted, Food; European Central Bank; Neither seasonally nor working day adjusted ",PURE_NUMB,0
STS.M.I9.N.ECPE.CFOOD0.3.000,M,I9,N,ECPE,CFOOD0,3,000,1999-03,68.79,A,F,,,P1M,,A,,,,,,,2010=100,,,2,,4F0,ECB Calculation,"ECB Commodity Price index, import weighted","Euro area 20 (fixed composition) as of 1 January 2023 - ECB Commodity Price index Euro denominated, import weighted, Food; European Central Bank; Neither seasonally nor working day adjusted ",PURE_NUMB,0
STS.M.I9.N.ECPE.CFOOD0.3.000,M,I9,N,ECPE,CFOOD0,3,000,1999-04,68.77,A,F,,,P1M,,A,,,,,,,2010=100,,,2,,4F0,ECB Calculation,"ECB Commodity Price index, import weighted","Euro area 20 (fixed composition) as of 1 January 2023 - ECB Commodity Price index Euro denominated, import weighted, Food; European Central Bank; Neither seasonally nor working day adjusted ",PURE_NUMB,0
STS.M.I9.N.ECPE.CFOOD0.3.000,M,I9,N,ECPE,CFOOD0,3,000,1999-05,68.13,A,F,,,P1M,,A,,,,,,,2010=100,,,2,,4F0,ECB Calculation,"ECB Commodity Price index, import weighted","Euro area 20 (fixed composition) as of 1 January 2023 - ECB Commodity Price index Euro denominated, import weighted, Food; European Central Bank; Neither seasonally nor working day adjusted ",PURE_NUMB,0
STS.M.I9.N.ECPE.CFOOD0.3.000,M,I9,N,ECPE,CFOOD0,3,000,1999-06,67.95,A,F,,,P1M,,A,,,,,,,2010=100,,,2,,4F0,ECB Calculation,"ECB Commodity Price index, import weighted","Euro area 20 (fixed composition) as of 1 January 2023 - ECB Commodity Price index Euro denominated, import weighted, Food; European Central Bank; Neither seasonally nor working day adjusted ",PURE_NUMB,0
STS.M.I9.N.ECPE.CFOOD0.3.000,M,I9,N,ECPE,CFOOD0,3,000,1999-07,65.47,A,F,,,P1M,,A,,,,,,,2010=100,,,2,,4F0,ECB Calculation,"ECB Commodity Price index, import weighted","Euro area 20 (fixed composition) as of 1 January 2023 - ECB Commodity Price index Euro denominated, import weighted, Food; European Central Bank; Neither seasonally nor working day adjusted ",PURE_NUMB,0
STS.M.I9.N.ECPE.CFOOD0.3.000,M,I9,N,ECPE,CFOOD0,3,000,1999-08,64.62,A,F,,,P1M,,A,,,,,,,2010=100,,,2,,4F0,ECB Calculation,"ECB Commodity Price index, import weighted","Euro area 20 (fixed composition) as of 1 January 2023 - ECB Commodity Price index Euro denominated, import weighted, Food; European Central Bank; Neither seasonally nor working day adjusted ",PURE_NUMB,0
STS.M.I9.N.ECPE.CFOOD0.3.000,M,I9,N,ECPE,CFOOD0,3,000,1999-09,65.29,A,F,,,P1M,,A,,,,,,,2010=100,,,2,,4F0,ECB Calculation,"ECB Commodity Price index, import weighted","Euro area 20 (fixed composition) as of 1 January 2023 - ECB Commodity Price index Euro denominated, import weighted, Food; European Central Bank; Neither seasonally nor working day adjusted ",PURE_NUMB,0
STS.M.I9.N.ECPE.CFOOD0.3.000,M,I9,N,ECPE,CFOOD0,3,000,1999-10,63.91,A,F,,,P1M,,A,,,,,,,2010=100,,,2,,4F0,ECB Calculation,"ECB Commodity Price index, import weighted","Euro area 20 (fixed composition) as of 1 January 2023 - ECB Commodity Price index Euro denominated, import weighted, Food; European Central Bank; Neither seasonally nor working day adjusted ",PURE_NUMB,0
STS.M.I9.N.ECPE.CFOOD0.3.000,M,I9,N,ECPE,CFOOD0,3,000,1999-11,67.69,A,F,,,P1M,,A,,,,,,,2010=100,,,2,,4F0,ECB Calculation,"ECB Commodity Price index, import weighted","Euro area 20 (fixed composition) as of 1 January 2023 - ECB Commodity Price index Euro denominated, import weighted, Food; European Central Bank; Neither seasonally nor working day adjusted ",PURE_NUMB,0
